brand,model,price,type,height,weight,firmness,trial,I_trial,I_firmness,I_weight,I_height
Nectar,Nectar Mattress,799.0,Foam,11.0,74.0,6.5,365.0,0,0,0,0
Casper,Casper,995.0,Foam,9.5,71.0,5.5,100.0,0,0,0,0
DreamCloud,DreamCloud Mattress,999.0,Hybrid,15.0,94.0,6.5,365.0,0,0,0,0
Bear,Bear Hybrid,1390.0,Hybrid,14.5,110.0,6.0,100.0,0,0,0,0
Leesa,Leesa Mattress,999.0,Foam,10.0,71.0,5.0,100.0,0,0,0,0
Purple,Purple Mattress,999.0,Foam,9.5,110.0,6.5,100.0,0,0,0,0
Leesa,Leesa Hybrid Mattress,1599.0,Hybrid,11.0,115.0,6.5,100.0,0,0,0,0
Bear,Bear Mattress,840.0,Foam,10.0,70.0,5.5,100.0,0,0,0,0
Tuft & Needle,T&N Hybrid,1495.0,Hybrid,12.0,112.0,6.0,100.0,0,0,0,0
Awara,Awara Mattress,1299.0,Hybrid,13.0,,6.0,365.0,0,0,1,0
Saatva,Solaire,2695.0,Smart/Other,13.5,114.0,,120.0,0,1,0,0
Propel,Propel Mattress,999.0,Hybrid,11.5,105.0,5.5,120.0,0,0,0,0
Winkbeds,EcoCloud,1799.0,Hybrid,13.0,117.0,5.0,120.0,0,0,0,0
Allswell,Allswell Supreme,985.0,Hybrid,14.0,92.0,5.5,100.0,0,0,0,0
Bear,Bear Pro,1150.0,Foam,12.0,80.0,6.5,100.0,0,0,0,0
Nolah,Nolah Original,949.0,Foam,10.0,74.0,5.5,120.0,0,0,0,0
Casper,Wave Hybrid,2695.0,Hybrid,13.0,113.0,4.5,100.0,0,0,0,0
Casper,Casper Hybrid,1195.0,Hybrid,12.0,106.0,5.5,100.0,0,0,0,0
Helix Sleep,Helix LUXE,1620.0,Hybrid,14.0,120.0,,100.0,0,1,0,0
Helix Sleep,Helix Nightfall,1115.0,Hybrid,12.0,100.0,6.0,100.0,0,0,0,0
Helix Sleep,Helix Twilight,899.0,Hybrid,12.0,95.0,7.0,100.0,0,0,0,0
Helix Sleep,Helix Dawn,899.0,Hybrid,12.0,95.0,7.0,100.0,0,0,0,0
Helix Sleep,Helix Dusk,899.0,Hybrid,12.0,95.0,5.5,100.0,0,0,0,0
Helix Sleep,Helix Moonlight,899.0,Hybrid,12.0,95.0,3.5,100.0,0,0,0,0
Parachute,Parachute Mattress,1899.0,Hybrid,13.0,,6.5,90.0,0,0,1,0
Brunswick,Brunswick Spring Mattress,749.0,Hybrid,12.0,79.0,6.0,120.0,0,0,0,0
Recore,Recore,849.0,Latex,10.5,95.0,6.0,120.0,0,0,0,0
Helix Sleep,Helix Midnight,899.0,Hybrid,12.0,95.0,5.5,100.0,0,0,0,0
Tempur-Pedic,TEMPUR-Adapt,2199.0,Foam,11.0,79.0,5.0,90.0,0,0,0,0
Titan,Titan,999.0,Hybrid,11.0,110.0,8.0,120.0,0,0,0,0
Plank,Plank,999.0,Foam,11.5,70.0,8.0,120.0,0,0,0,0
Brooklyn Bedding,Brooklyn Bowery Hybrid,799.0,Hybrid,10.0,,6.5,100.0,0,0,1,0
Douglas,Douglas Mattress,749.0,Foam,10.0,65.0,6.0,120.0,0,0,0,0
Tuft & Needle,Mint Mattress,795.0,Foam,12.0,80.0,6.0,100.0,0,0,0,0
My Green Mattress,Natural Escape,1199.0,Hybrid,11.0,110.0,6.0,100.0,0,0,0,0
My Green Mattress,Pure Echo (1 and 2 sided),779.0,Innerspring,10.375,87.5,6.0,100.0,0,0,0,0
Allswell,Allswell Luxe Hybrid,645.0,Hybrid,12.0,90.0,6.5,100.0,0,0,0,0
Allswell,The Allswell,345.0,Hybrid,10.0,78.0,6.0,100.0,0,0,0,0
Purple,Purple Hybrid,1449.0,Hybrid,11.0,122.0,6.5,100.0,0,0,0,0
Winkbeds,WinkBed PLUS,1499.0,Hybrid,14.5,135.0,8.0,120.0,0,0,0,0
Brooklyn Bedding,Brooklyn Bowery,699.0,Foam,10.0,110.0,5.5,120.0,0,0,0,0
Puffy,Puffy,850.0,Foam,10.0,72.0,5.0,101.0,0,0,0,0
Big Fig,Big Fig Mattress,1699.0,Hybrid,13.0,120.0,6.5,120.0,0,0,0,0
Casper,Casper Essential,595.0,Foam,11.0,63.0,6.0,100.0,0,0,0,0
Eight,The Pod,2195.0,Foam,11.0,,5.5,100.0,0,0,1,0
Casper,Casper Wave,2395.0,Foam,11.5,109.0,4.5,100.0,0,0,0,0
Rest,Airbed,3999.0,Smart/Other,12.0,,,90.0,0,1,1,0
2920 Sleep,2920 Mattress,1095.0,Foam,10.0,73.0,5.0,100.0,0,0,0,0
Airweave,Fiber,1200.0,Smart/Other,8.5,77.0,7.5,60.0,0,0,0,0
Airweave,airweave Mattress Advanced,1455.0,Foam,8.5,69.0,,100.0,0,1,0,0
Amazonbasics,AmazonBasics Mattress,200.0,Foam,10.0,55.5,4.0,30.0,0,0,0,0
Ameena by US-Mattress.com,,800.0,Foam,10.0,65.0,6.0,120.0,0,0,0,0
Amerisleep,AS1,1199.0,Foam,10.0,,7.5,100.0,0,0,1,0
Amerisleep,AS2,1299.0,Foam,12.0,,6.5,100.0,0,0,1,0
Amerisleep,AS3,1399.0,Foam,12.0,88.0,5.5,100.0,0,0,0,0
